EmployeeID,Name,Department,JoiningDate,Salary,Email,Phone,,EmployeeID,  Name, Department,Joining Date,  Salary ,       Email,   Phone,,Initial Count,,EmployeeID,Name,Department,JoiningDate,Salary,Email,Phone,,     EmployeeID,   Name,  Fill Null Names,  Department,  Department proper,       JoiningDate,  Modified Date,          Salary , Modified salary ,              Email,       Email-Update,            Phone,  ModifiedPhone,,
1027,Diana,finance,1/15/2022,"65,000",charlie@example,,,1000,Charlie,HR,44576,85000,charlie@example,9876543210,,,,1001,Alice,HR,12/5/2021,55000,bob_at_example.com,(123)456-7890,,1001,Alice,Alice,HR,Hr,12/5/2021,2021-12-05," ? 55,000 "," ? 55,000 ",bob@example.com,bob@example.com,1234567890,1234567890,,Modified count
1020,Charlie,HR,1/15/2022,60000,eve@@example.com,,,1000,0,IT,44165,72000,charlie@example,123-456-7890,,510,,1002,Alice,it,1/15/2022,85000,alice@example.com,9876543210,,1002,Alice,Alice,it,It,1/15/2022,2022-01-15," ? 85,000 "," ? 85,000 ",alice@example.com,alice@example.com,9876543210,9876543210,,500
1089,Bob,,1/15/2022,85000,bob_at_example.com,,,1000,Frank,0,44576,75000USD,diana@example.com,9876543210,,,,1002,Alice,,,"65,000",charlie@example,(123)456-7890,,1002,Alice,Alice,,N/A,,YYYY-MM-DD," ? 65,000 "," ? 65,000 ",charlie@example.com,charlie@example.com,1234567890,1234567890,,
1031,Diana,Finance,,60000,alice@example.com,9876543210,,1000,Diana,Finance,44328,55000,charlie@example,9876543210,,,,1003,Alice,HR,1/15/2022,55000,bob_at_example.com,9876543210,,1003,Alice,Alice,HR,Hr,1/15/2022,2022-01-15," ? 55,000 "," ? 55,000 ",bob@example.com,bob@example.com,9876543210,9876543210,,
1011,Alice,Operations,5/12/2021,85000,eve@@example.com,123.456.7890,,1000,Frank,IT,44165,0,charlie@example,(123)456-7890,,,,1005,Alice,Finance,11/30/2020,72000,diana@example.com,123.456.7890,,1005,Alice,Alice,Finance,Finance,11/30/2020,2020-11-30," ? 72,000 "," ? 72,000 ",diana@example.com,diana@example.com,8907613245,8907613245,,
1043,Diana,Operations,5/12/2021,"65,000",diana@example.com,9876543210,,1000,Eve,finance,44535,85000,charlie@example,123.456.7890,,,,1007,Alice,,11/30/2020,85000,charlie@example,,,1007,Alice,Alice,,N/A,11/30/2020,2020-11-30," ? 85,000 "," ? 85,000 ",charlie@example.com,charlie@example.com,,0000000000,,
1016,Eve,IT,1/15/2022,,eve@@example.com,,,1000,Eve,IT,44165,75000USD,diana@example.com,123-456-7890,,,,1009,Alice,,5/12/2021,72000,eve@@example.com,123-456-7890,,1009,Alice,Alice,,N/A,5/12/2021,2021-05-12," ? 72,000 "," ? 72,000 ",eve@example.com,eve@example.com,8907613245,8907613245,,
1064,Frank,finance,12/5/2021,55000,,,,1000,Eve,finance,44535,85000,charlie@example,123.456.7890,,,,1010,Alice,it,1/15/2022,"65,000",eve@@example.com,(123)456-7890,,1010,Alice,Alice,it,It,1/15/2022,2022-01-15," ? 65,000 "," ? 65,000 ",eve@example.com,eve@example.com,1234567890,1234567890,,
1047,Frank,Operations,5/12/2021,85000,eve@@example.com,9876543210,,1001,Eve,IT,44535,60000,alice@example.com,(123)456-7890,,,,1010,Alice,Operations,11/30/2020,72000,eve@@example.com,9876543210,,1010,Alice,Alice,Operations,Operations,11/30/2020,2020-11-30," ? 72,000 "," ? 72,000 ",eve@example.com,eve@example.com,9876543210,9876543210,,
1047,Alice,it,1/15/2022,,charlie@example,9876543210,,1001,Charlie,Operations,44576,65000,eve@@example.com,9876543210,,,,1011,Alice,Operations,5/12/2021,85000,eve@@example.com,123.456.7890,,1011,Alice,Alice,Operations,Operations,5/12/2021,2021-05-12," ? 85,000 "," ? 85,000 ",eve@example.com,eve@example.com,8907613245,8907613245,,
1048,Alice,finance,12/5/2021,85000,bob_at_example.com,123-456-7890,,1001,Alice,HR,44535,55000,bob_at_example.com,(123)456-7890,,,,1015,Alice,Operations,1/15/2022,,alice@example.com,9876543210,,1015,Alice,Alice,Operations,Operations,1/15/2022,2022-01-15,," 00,000 ",alice@example.com,alice@example.com,9876543210,9876543210,,
1084,Eve,finance,12/5/2021,55000,diana@example.com,9876543210,,1001,0,Finance,44576,72000,bob_at_example.com,9876543210,,,,1016,Alice,Finance,1/15/2022,75000USD,bob_at_example.com,,,1016,Alice,Alice,Finance,Finance,1/15/2022,2022-01-15," ? 75,000 "," ? 75,000 ",bob@example.com,bob@example.com,,0000000000,,
1036,,,5/12/2021,60000,,(123)456-7890,,1002,Bob,Operations,44576,0,charlie@example,0,,,,1016,Alice,Finance,1/15/2022,75000USD,bob_at_example.com,,,1019,Alice,Alice,Finance,Finance,11/30/2020,2020-11-30," ? 75,000 "," ? 75,000 ",,name@example.com,8907613245,8907613245,,
